Site,Date,Watershed,Rain/Snow,Precipitation.cm,NH4N.mgl,NO3N.mgl,NO2N.mgl,SO4S.mgl,PO4.mgl,Cl.mgl,F.mgl,Mg.mgl,Ca.mgl,K.mgl,Na.mgl,,,,,,,,,,
GIRF,140508,Salt Lake,rain,1.79,0.77,0.47,0.01,0.54,0.00,1.08,0.03,0.24,1.94,0.23,0.67,,,,,,,,,,
GIRF,140512,Salt Lake,rain,1.69,0.58,0.26,0.01,0.01,0.00,0.67,0.02,0.17,1.59,0.15,0.18,,,,,,,,,,
GIRF,140618,Salt Lake,rain,0.86,2.16,1.40,0.02,1.48,0.49,4.04,0.04,0.65,7.54,1.74,2.96,,,,,,,,,,
GIRF,140627,Salt Lake,rain,0.44,0.85,0.92,0.01,1.26,0.00,9.48,0.29,0.72,5.64,0.72,5.94,,,,,,,,,,
GIRF,140720,Salt Lake,rain,0.22,1.12,0.99,0.01,0.84,0.02,3.64,0.04,0.26,4.24,0.49,1.17,,,,,,,,,,
GIRF,140729,Salt Lake,rain,1.09,0.73,0.70,0.01,0.49,0.00,0.71,0.07,0.21,3.85,0.24,0.30,,,,,,,,,,
GIRF,140730,Salt Lake,rain,1.05,0.83,0.51,0.01,0.34,0.01,0.19,0.00,0.04,1.18,0.09,0.08,,,,,,,,,,
GIRF,140804,Salt Lake,rain,0.43,1.03,0.79,0.01,0.63,0.07,0.41,0.00,0.14,2.87,0.29,0.18,,,,,,,,,,
GIRF,140806,Salt Lake,rain,1.29,0.92,0.42,0.01,0.30,0.01,0.18,0.02,0.13,0.99,0.24,0.07,,,,,,,,,,
GIRF,140813,Salt Lake,rain,1.62,1.05,0.34,0.00,0.74,0.25,5.30,0.01,0.49,2.67,0.87,3.26,,,,,,,,,,
GIRF,140814,Salt Lake,rain,0.63,0.81,0.24,0.00,0.25,0.02,0.24,0.01,0.14,1.12,0.36,0.12,,,,,,,,,,
GIRF,140820,Salt Lake,rain,1.50,0.48,0.40,0.00,0.25,0.01,0.67,0.01,0.15,1.59,0.20,0.20,,,,,,,,,,
GIRF,140823,Salt Lake,rain,1.36,0.73,0.59,0.01,0.39,0.10,1.15,0.03,0.12,1.45,0.29,0.78,,,,,,,,,,
GIRF,140909,Salt Lake,rain,4.15,0.41,0.32,0.01,0.43,0.00,2.83,0.02,0.26,1.69,0.28,1.64,,,,,,,,,,
GIRF,140922,Salt Lake,rain,0.69,0.08,0.47,0.01,0.62,0.30,2.40,0.03,0.32,3.88,1.10,1.45,,,,,,,,,,
GIRF,141001,Salt Lake,rain,4.13,0.28,0.18,0.01,0.19,0.00,0.29,0.01,0.04,0.57,0.11,0.10,,,,,,,,,,
GIRF,141103,Salt Lake,rain,0.51,0.81,1.29,0.02,2.07,0.10,8.48,0.06,0.75,9.26,0.89,6.09,,,,,,,,,,
GIRF,141115,Salt Lake,rain,0.45,0.21,0.89,0.04,1.33,0.00,9.76,0.07,0.68,8.48,4.95,3.36,,,,,,,,,,
GIRF,141124,Salt Lake,rain,1.59,0.26,0.13,0.01,0.24,0.01,1.16,0.01,0.13,2.01,0.15,0.71,,,,,,,,,,
GIRF,141221,Salt Lake,rain,3.22,0.27,0.18,0.01,0.26,0.00,0.75,0.01,0.14,1.41,0.18,0.50,,,,,,,,,,
GIRF,141223,Salt Lake,rain,1.86,0.00,0.01,0.00,0.19,0.00,0.48,0.05,0.66,2.45,0.00,0.17,,,,,,,,,,
GIRF,141226,Salt Lake,rain,1.62,0.22,0.14,0.01,0.16,0.00,1.93,0.00,0.11,0.65,0.00,0.96,,,,,,,,,,
GIRF,141229,Salt Lake,rain,1.01,0.21,0.22,0.00,0.10,0.01,2.26,0.01,0.08,0.46,0.09,1.25,,,,,,,,,,
GIRF,150113,Salt Lake,rain,3.30,0.50,0.30,0.03,0.40,0.00,7.40,0.02,0.12,1.15,0.07,4.67,,,,,,,,,,
GIRF,150120,Salt Lake,rain,0.56,0.36,0.30,0.01,0.71,0.00,20.59,0.14,0.16,1.17,0.04,3.29,,,,,,,,,,
GIRF,150204,Salt Lake,rain,0.38,0.75,1.05,0.03,1.43,0.01,4.82,0.13,0.29,6.58,0.16,3.18,,,,,,,,,,
GIRF,150210,Salt Lake,rain,0.50,0.61,0.48,0.01,0.64,0.00,1.20,0.03,0.18,2.87,0.14,0.83,,,,,,,,,,
